address1;city;state;zip;country;phone;website;industry;industryKey;industryDisp;sector;sectorKey;sectorDisp;longBusinessSummary;companyOfficers;executiveTeam;maxAge;priceHint;previousClose;open;dayLow;dayHigh;regularMarketPreviousClose;regularMarketOpen;regularMarketDayLow;regularMarketDayHigh;exDividendDate;payoutRatio;beta;forwardPE;volume;regularMarketVolume;averageVolume;averageVolume10days;averageDailyVolume10Day;bid;ask;bidSize;askSize;marketCap;nonDilutedMarketCap;fiftyTwoWeekLow;fiftyTwoWeekHigh;allTimeHigh;allTimeLow;priceToSalesTrailing12Months;fiftyDayAverage;twoHundredDayAverage;trailingAnnualDividendRate;trailingAnnualDividendYield;currency;tradeable;enterpriseValue;profitMargins;floatShares;sharesOutstanding;heldPercentInsiders;heldPercentInstitutions;impliedSharesOutstanding;bookValue;priceToBook;lastFiscalYearEnd;nextFiscalYearEnd;mostRecentQuarter;earningsQuarterlyGrowth;netIncomeToCommon;trailingEps;forwardEps;enterpriseToRevenue;enterpriseToEbitda;52WeekChange;SandP52WeekChange;lastDividendValue;lastDividendDate;quoteType;currentPrice;recommendationKey;totalCash;totalCashPerShare;ebitda;totalDebt;quickRatio;currentRatio;totalRevenue;debtToEquity;revenuePerShare;returnOnAssets;returnOnEquity;grossProfits;freeCashflow;operatingCashflow;earningsGrowth;revenueGrowth;grossMargins;ebitdaMargins;operatingMargins;financialCurrency;symbol;language;region;typeDisp;quoteSourceName;triggerable;customPriceAlertConfidence;fullExchangeName;averageDailyVolume3Month;fiftyTwoWeekLowChange;fiftyTwoWeekLowChangePercent;fiftyTwoWeekRange;fiftyTwoWeekHighChange;fiftyTwoWeekHighChangePercent;fiftyTwoWeekChangePercent;earningsTimestampStart;earningsTimestampEnd;earningsCallTimestampStart;earningsCallTimestampEnd;isEarningsDateEstimate;epsTrailingTwelveMonths;epsForward;fiftyDayAverageChange;fiftyDayAverageChangePercent;twoHundredDayAverageChange;twoHundredDayAverageChangePercent;sourceInterval;exchangeDataDelayedBy;prevName;nameChangeDate;regularMarketChangePercent;regularMarketPrice;corporateActions;regularMarketTime;exchange;messageBoardId;exchangeTimezoneName;exchangeTimezoneShortName;gmtOffSetMilliseconds;market;esgPopulated;longName;shortName;regularMarketChange;regularMarketDayRange;cryptoTradeable;marketState;hasPrePostMarketData;firstTradeDateMilliseconds;trailingPegRatio;Ticker;address2;fax;auditRisk;boardRisk;compensationRisk;shareHolderRightsRisk;overallRisk;governanceEpochDate;dividendRate;dividendYield;fiveYearAvgDividendYield;trailingPE;targetHighPrice;targetLowPrice;targetMeanPrice;targetMedianPrice;numberOfAnalystOpinions;epsCurrentYear;priceEpsCurrentYear;fullTimeEmployees;irWebsite;lastSplitFactor;lastSplitDate;recommendationMean;averageAnalystRating;earningsTimestamp;ipoExpectedDate;underlyingSymbol;uuid;compensationAsOfEpochDate;firstTradeDateEpochUtc;timeZoneFullName;timeZoneShortName
Avenida Brigadeiro Faria Lima No. 3.732;São Paulo;SP;04538-132;Brazil;55 80 0000 3670;https://brpartners.com.br;Capital Markets;capital-markets;Capital Markets;Financial Services;financial-services;Financial Services;"BRBI BR Partners S.A., through its subsidiaries, operates as an investment bank that provides investment banking, capital market, treasury sales and structuring, investment, and wealth management services in Brazil. The company offers financial and strategic advisory services for mergers and acquisitions, capital markets and solutions, boards and shareholders, Pre-IPO, and privatizations. It also originates, structures, and distributes real estate receivables certificates, structured real estate receivables certificates, agribusiness receivables certificates, real estate investment funds, investment funds in agroindustrial production chains, credit rights investment funds, bank credit notes, and debentures. In addition, the company offers multi-product platform across foreign exchange, interest rates, commodities, and fixed income markets; derivative products comprising futures, swaps, forwards, and options; foreign exchange consisting of spot transactions and forward settlements; asset and liability management; fixed income, which include funding products, as well as trading in the secondary market for government bonds, debentures, and securitizations; and bank guarantees. Further, it manages the wealth of high-net-worth families; and makes minority investments in small and medium-sized companies through privately negotiated deals and structure vehicles. The company was formerly known as BR Advisory Partners Participações S.A. The company was founded in 2009 and is headquartered in São Paulo, Brazil.";[{'maxAge': 1, 'name': 'Mr. Jairo Eduardo Loureiro Filho', 'title': 'Chairman, MD & Co-Founding Partner', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ricardo Fleury Cavalcanti de Albuquerque Lacerda', 'age': 57, 'title': 'CEO, Founding Partner & Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marcelo da Nobrega Costa', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hideo  Kawassaki', 'title': 'Partner & Head of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vinicius Carmona Cardoso', 'title': 'Partner & Head of Investors Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Monica  Piccirillo', 'title': 'Partner and Head of Legal & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Giovana  Petrilli', 'title': 'Partner & Head of Human Resources', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jose Flavio Ferreira Ramos', 'title': 'Partner, & CEO of BR Partners Investment Bank , MD & Director', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Danilo Depieri Catarucci C.F.A.', 'title': 'Partner, MD & Director', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Victor  Molchansky', 'age': 38, 'title': 'Partner & MD', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;18,64;19,09;18,19;19,09;18,64;19,09;18,19;19,09;1763424000,0;;0,287;7,328909;232900,0;232900,0;293101,0;267830,0;267830,0;18,2;18,59;;;;;12,84;21,73;29,51;9,59;;19,2598;17,77625;0,0;0.0;BRL;False;4740887040,0;0,32946998;104995704,0;;0,0;0,13181;;7,46;2,4678283;1767139200,0;1798675200,0;1767139200,0;0,057;175072992,0;0,44;2,51197;8,922;;0,44608223;0,19708562;1,02;1763424000,0;EQUITY;18,41;strong_buy;12873791488,0;122,613;;15657558016,0;1,157;1,157;531380000,0;1998,927;5,061;0,01076;0,22051;531380000,0;;-424664992,0;0,057;0,985;1,0;0,0;0,99189;BRL;BRBI11.SA;en-US;US;Equity;Delayed Quote;False;LOW;São Paulo;293101,0;5,5699997;0,4338006;12.84 - 21.73;-3,3199997;-0,15278415;44,608223;1754593200,0;1754593200,0;1762538400,0;1762538400,0;False;0,44;2,51197;-0,8498001;-0,044122998;0,633749;0,035651445;15,0;15,0;BR Advisory Partners Participações S.A.;2026-03-05;-1,2339032;18,41;[];1772744760,0;SAO;finmb_102233801;America/Sao_Paulo;BRT;-10800000,0;br_market;False;BRBI BR Partners S.A.;BR PARTNERS UNT     N2;-0,22999954;18.19 - 19.09;False;POSTPOST;False;1626267600000,0;;BRBI11;Floor 28 Itaim Bibi;;;;;;;;4,08;21,89;;41,840908;26,0;22,0;24,0;24,0;5,0;2,06424;8,918536;;;;;1,4;1.4 - Strong Buy;;2021-06-21;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;13,18;0,0;13,18;13,18;;;;;;0,0;;;0,0;10,0;0,0;0,0;0,0;957061824,0;;13,18;13,18;;;;13,18;13,18;0,0;0.0;BRL;False;;;;6759340,0;;;;17,98;0,73303676;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE11.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;13.18 - 13.18;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,18;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE11.SA,0P0000D2U6,0;0,0;13.18 - 13.18;False;POSTPOST;False;1199880000000,0;;BRGE11;;;;;;;;;;;;3,4593177;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;13,47;0,0;13,47;13,47;;;;;;0,0;;;0,0;0,0;0,0;0,0;0,0;957062400,0;;13,47;13,47;;;;13,47;13,47;0,0;0.0;BRL;False;;;;21717500,0;;;;17,98;0,7491658;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE12.SA;en-US;US;Fund;;False;NONE;São Paulo;0,0;0,0;0,0;13.47 - 13.47;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,47;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE12.SA,0P0000E6F5,0;0,0;13.47 - 13.47;False;POSTPOST;False;946987200000,0;;BRGE12;;;;;;;;;;;;3,5354333;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;13,5;0,0;13,5;13,5;;;;;;0,0;;;0,0;0,0;18,0;0,0;0,0;957062272,0;;13,5;13,5;;;;13,5;13,5;0,0;0.0;BRL;False;;;;40394900,0;;;;17,98;0,7508343;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE3.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;13.5 - 13.5;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,5;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE3.SA,0P0000E6F4,0;0,0;13.5 - 13.5;False;POSTPOST;False;946987200000,0;;BRGE3;;;;;;;;;;;;3,543307;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;13,18;0,0;0,0;0,0;;;;;;0,0;;;0,0;12,01;0,0;0,0;0,0;959235136,0;;0,0;13,18;;;;13,18;13,18;0,0;0.0;BRL;False;;;;164936,0;;;;17,98;0,73303676;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE5.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;13,18;;0.0 - 13.18;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,18;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE5.SA,0P0000D2UD,0;0,0;0.0 - 0.0;False;POSTPOST;False;1185454800000,0;;BRGE5;;;;;;;;;;;;3,4593177;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;12,92;0,0;12,92;12,92;;;;;;0,0;;;0,0;12,0;13,49;;;957061952,0;;12,92;12,92;;;;12,92;12,92;0,0;0.0;BRL;False;;;;2330270,0;;;;17,98;0,7185762;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE6.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;12.92 - 12.92;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;12,92;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE6.SA,0P0000D2UE,0;0,0;12.92 - 12.92;False;POSTPOST;False;1196942400000,0;;BRGE6;;;;;;;;;;;;3,391076;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;0,0;0,0;13,07;13,07;;;;;;0,0;;;0,0;0,0;0,0;;;989232960,0;;13,07;13,07;;;;13,07;13,07;0,0;;BRL;False;;;;219863,0;;;;17,98;0,7269188;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE7.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;13.07 - 13.07;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,07;[];1720814400,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE7.SA,0P0000D2UL,0;0,0;13.07 - 13.07;False;POSTPOST;False;1177333200000,0;;BRGE7;;;;;;;;;;;;3,4304461;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;13,17;0,0;13,17;13,17;;;;;;0,0;;;0,0;0,0;0,0;;;989232960,0;;13,17;13,17;;;;13,17;13,17;0,0;0.0;BRL;False;;;;2059520,0;;;;17,98;0,7324806;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRGE8.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;13.17 - 13.17;0,0;0,0;0,0;;;;;;3,81;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;13,17;[];1721764800,0;SAO;finmb_9441189;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Consórcio Alfa de Administração S.A.;BRGE8.SA,0P0000D2UF,0;0,0;13.17 - 13.17;False;POSTPOST;False;1190293200000,0;;BRGE8;;;;;;;;;;;;3,456693;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;NONE;;;;;;;;;;;;;;;;;;;;;;BRL;BRIT3.SA;en-US;US;;;False;NONE;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;;False;;;;;False;;False;;;BRIT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;12,86;0,0;12,86;12,86;;;;;;0,0;;;0,0;12,21;14,0;0,0;0,0;1127287040,0;;12,86;12,86;;;;12,86;12,86;0,655;0.050933126;BRL;False;;;;53413800,0;;;;18,938;0,67905796;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRIV3.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;12.86 - 12.86;0,0;0,0;0,0;;;;;;0,03;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;12,86;[];1721764800,0;SAO;finmb_880523;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Banco Alfa de Investimento S.A.;BRIV3.SA,0P0000E6FN,0;0,0;12.86 - 12.86;False;POSTPOST;False;946987200000,0;;BRIV3;;;;;;;;;;;;428,66666;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;12,54;0,0;12,54;12,54;;;;;;0,0;;;0,0;12,2;12,99;0,0;0,0;1127287040,0;;12,54;12,54;;;;12,54;12,54;0,655;0.052232854;BRL;False;;;;35118500,0;;;;18,938;0,66216075;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;BRIV4.SA;en-US;US;Fund;Delayed Quote;False;NONE;São Paulo;0,0;0,0;0,0;12.54 - 12.54;0,0;0,0;0,0;;;;;;0,03;;0,0;0,0;0,0;0,0;15,0;15,0;;;0,0;12,54;[];1721764800,0;SAO;finmb_880523;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Banco Alfa de Investimento S.A.;BRIV4.SA,0P0000D2TY,0;0,0;12.54 - 12.54;False;POSTPOST;False;1199275200000,0;;BRIV4;;;;;;;;;;;;418,0;;;;;;;;;;;;;;;;;;;;;
Rua Lemos Monteiro, 120;São Paulo;SP;05501-050;Brazil;55 11 3576 9531;https://www.braskem.com.br;Chemicals;chemicals;Chemicals;Basic Materials;basic-materials;Basic Materials;"Braskem S.A., together with its subsidiaries, engages in the manufacture, sale, import, and export of chemicals, petrochemicals, and fuels in Brazil. It produces and sells polyethylene (PE), polypropylene, tertiary-butyl ethyl ether, gasoline, benzene, toluene, xylene, ethylene, propylene, polyvinyl chloride, caustic soda, butadiene, cumene, naphtha, solvents, and condensate; thermoplastic resins; and basic petrochemicals. The company also supplies electricity and other inputs to second-generation producers; and sale of utilities such as steam, water, compressed air and industrial gases, as well as provides industrial services and natural gas. It also operates in the United States, Mexico, Switzerland, Argentina, Germany, Japan, the Netherlands, Singapore, Chile, Spain, Peru, Italy, Luxembourg, China, and internationally. The company was formerly known as Copene Petroquímica do Nordeste S.A. and changed its name to Braskem S.A. in 2002. Braskem S.A. was founded in 1972 and is headquartered in São Paulo, Brazil. Braskem S.A. is a subsidiary of NSP Investimentos S.A.";[{'maxAge': 1, 'name': 'Mr. Roberto Prisco Paraíso Ramos', 'age': 79, 'title': 'Chief Executive Officer', 'yearBorn': 1946, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Felipe Montoro Jens', 'age': 54, 'title': 'Chief Financial & Investor Relations Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. João Henrique Rittershaussen', 'age': 61, 'title': 'Executive Officer and Head of Investments & Digital Technologies', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nir  Lander', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Geraldo Magela de Moraes Vilaca Netto', 'age': 45, 'title': 'Executive Officer and Head of Legal, Corporate Governance & Intellectual Property', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Daniel P. MacEachran', 'title': 'Head of Metabolic Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stefan Lanna Lepecki', 'age': 63, 'title': 'Executive Officer & Head of South America Business', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rosana  Avolio', 'title': 'Investor Relations Manager', 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;9,8;9,8;9,8;11,4;9,8;9,8;9,8;11,4;1650412800,0;0,0;0,851;;373200,0;373200,0;29382,0;22620,0;22620,0;11,52;11,45;0,0;0,0;9085438976,0;8177921704,0;7,0;12,78;1093750,0;2,125;0,12316233;8,8134;8,87975;0,0;0.0;BRL;False;64001638400,0;-0,07106;203056801,0;451668652,0;0,97164;0,05331;796968412,0;-4,433;-2,571622;1735603200,0;1767139200,0;1759190400,0;;-5241999872,0;-6,65;;0,868;-180,286;-0,07372403;0,19708562;1,696348;1650412800,0;EQUITY;11,4;none;7408000000,0;9,292;-355000000,0;63237001216,0;0,562;1,175;73768001536,0;;92,561;-0,027609998;;3255000064,0;-7746124800,0;-2484000000,0;;-0,186;0,044120003;-0,00481;-0,096540004;BRL;BRKM3.SA;en-US;US;Equity;;False;LOW;São Paulo;29382,0;4,3999996;0,6285714;7.0 - 12.78;-1,3800001;-0,107981235;-7,372403;1774555200,0;1774555200,0;1762426740,0;1762426740,0;False;-6,65;;2,5865993;0,29348484;2,5202494;0,28381985;15,0;15,0;;;16,326525;11,4;[];1772744700,0;SAO;finmb_394524;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Braskem S.A.;BRASKEM     ON      N1;1,5999994;9.8 - 11.4;False;POSTPOST;False;1031144400000,0;;BRKM3;;;;;;;;;;;;;;;;;;;;;;1:250;1116201600,0;;;1774555200,0;;;;;;;
Rua Lemos Monteiro, 120;São Paulo;SP;05501-050;Brazil;55 11 3576 9531;https://www.braskem.com.br;Chemicals;chemicals;Chemicals;Basic Materials;basic-materials;Basic Materials;"Braskem S.A., together with its subsidiaries, engages in the manufacture, sale, import, and export of chemicals, petrochemicals, and fuels in Brazil. It produces and sells polyethylene (PE), polypropylene, tertiary-butyl ethyl ether, gasoline, benzene, toluene, xylene, ethylene, propylene, polyvinyl chloride, caustic soda, butadiene, cumene, naphtha, solvents, and condensate; thermoplastic resins; and basic petrochemicals. The company also supplies electricity and other inputs to second-generation producers; and sale of utilities such as steam, water, compressed air and industrial gases, as well as provides industrial services and natural gas. It also operates in the United States, Mexico, Switzerland, Argentina, Germany, Japan, the Netherlands, Singapore, Chile, Spain, Peru, Italy, Luxembourg, China, and internationally. The company was formerly known as Copene Petroquímica do Nordeste S.A. and changed its name to Braskem S.A. in 2002. Braskem S.A. was founded in 1972 and is headquartered in São Paulo, Brazil. Braskem S.A. is a subsidiary of NSP Investimentos S.A.";[{'maxAge': 1, 'name': 'Mr. Roberto Prisco Paraíso Ramos', 'age': 79, 'title': 'Chief Executive Officer', 'yearBorn': 1946, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Felipe Montoro Jens', 'age': 54, 'title': 'Chief Financial & Investor Relations Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. João Henrique Rittershaussen', 'age': 61, 'title': 'Executive Officer and Head of Investments & Digital Technologies', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nir  Lander', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Geraldo Magela de Moraes Vilaca Netto', 'age': 45, 'title': 'Executive Officer and Head of Legal, Corporate Governance & Intellectual Property', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Daniel P. MacEachran', 'title': 'Head of Metabolic Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stefan Lanna Lepecki', 'age': 63, 'title': 'Executive Officer & Head of South America Business', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rosana  Avolio', 'title': 'Investor Relations Manager', 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;10,86;10,9;10,87;12,7;10,86;10,9;10,87;12,7;1650412800,0;0,0;0,851;-3,2510586;22542100,0;22542100,0;4080932,0;3291810,0;3291810,0;12,1;12,7;0,0;0,0;10121498624,0;8177921704,0;6,11;12,7;2531250,0;0,137375;0,13720717;8,9978;8,50575;0,0;0.0;BRL;False;64846675968,0;-0,07106;203056801,0;345060365,0;0,44948003;0,18496999;796968412,0;-4,433;-2,864877;1735603200,0;1767139200,0;1759190400,0;;-5241999872,0;-6,65;-3,90642;0,879;-182,667;0,025495768;0,19708562;1,696348;1650412800,0;EQUITY;12,7;hold;7408000000,0;9,292;-355000000,0;63237001216,0;0,562;1,175;73768001536,0;;92,561;-0,027609998;;3255000064,0;-7746124800,0;-2484000000,0;;-0,186;0,044120003;-0,00481;-0,096540004;BRL;BRKM5.SA;en-US;US;Equity;Delayed Quote;False;LOW;São Paulo;4080932,0;6,5899997;1,0785596;6.11 - 12.7;0,0;0,0;2,5495768;1754510400,0;1754510400,0;1762426740,0;1762426740,0;False;-6,65;-3,90642;3,7022;0,41145614;4,19425;0,49310765;15,0;15,0;;;16,942913;12,7;[];1772744820,0;SAO;finmb_394524;America/Sao_Paulo;BRT;-10800000,0;br_market;False;Braskem S.A.;BRASKEM     PNA     N1;1,8400002;10.87 - 12.7;False;POSTPOST;False;946900800000,0;;BRKM5;;;2,0;7,0;5,0;4,0;6,0;1772323200,0;;;;;18,0;8,0;11,03333;10,25;12,0;-1,54318;-8,229759;;;1:250;1116201600,0;3,0;3.0 - Hold;;;;;;;;
